DATE,OPEN,HIGH,LOW,CLOSE
1.95E+07,21.85,21.85,21.85,21.85
1.95E+07,21.93,21.93,21.93,21.93
1.95E+07,21.79,21.79,21.79,21.79
1.95E+07,21.79,21.79,21.79,21.79
1.95E+07,21.86,21.86,21.86,21.86
1.95E+07,21.95,21.95,21.95,21.95
1.95E+07,21.95,21.95,21.95,21.95
1.95E+07,21.7,21.7,21.7,21.7
1.95E+07,21.41,21.41,21.41,21.41
1.95E+07,21.25,21.25,21.25,21.25
1.95E+07,21.29,21.29,21.29,21.29
1.95E+07,21.64,21.64,21.64,21.64
1.95E+07,21.56,21.56,21.56,21.56
1.95E+07,21.52,21.52,21.52,21.52
1.95E+07,21.64,21.64,21.64,21.64
1.95E+07,21.73,21.73,21.73,21.73
1.95E+07,21.53,21.53,21.53,21.53
1.95E+07,21.51,21.51,21.51,21.51
1.95E+07,21.26,21.26,21.26,21.26
1.95E+07,21.33,21.33,21.33,21.33
1.95E+07,21.48,21.48,21.48,21.48
1.95E+07,21.32,21.32,21.32,21.32
1.95E+07,21.26,21.26,21.26,21.26
1.95E+07,21.4,21.4,21.4,21.4
1.95E+07,21.69,21.69,21.69,21.69
1.95E+07,21.72,21.72,21.72,21.72
1.95E+07,21.68,21.68,21.68,21.68
1.95E+07,21.65,21.65,21.65,21.65
1.95E+07,21.64,21.64,21.64,21.64
1.95E+07,21.83,21.83,21.83,21.83
1.95E+07,22.09,22.09,22.09,22.09
1.95E+07,22.04,22.04,22.04,22.04
1.95E+07,22.09,22.09,22.09,22.09
1.95E+07,22.13,22.13,22.13,22.13
1.95E+07,22.04,22.04,22.04,22.04
1.95E+07,22.04,22.04,22.04,22.04
1.95E+07,22.05,22.05,22.05,22.05
1.95E+07,21.96,21.96,21.96,21.96
1.95E+07,21.97,21.97,21.97,21.97
1.95E+07,22.16,22.16,22.16,22.16
1.95E+07,22.39,22.39,22.39,22.39
1.95E+07,22.43,22.43,22.43,22.43
1.95E+07,22.53,22.53,22.53,22.53
1.95E+07,22.62,22.62,22.62,22.62
1.95E+07,22.81,22.81,22.81,22.81
1.95E+07,22.77,22.77,22.77,22.77
1.95E+07,22.63,22.63,22.63,22.63
1.95E+07,22.61,22.61,22.61,22.61
1.95E+07,22.64,22.64,22.64,22.64
1.95E+07,22.51,22.51,22.51,22.51
1.95E+07,22.33,22.33,22.33,22.33
